Chamber,Committee,Code,Official_URL,Description
"house","Agriculture","AGRICULTURE","https://agriculture.house.gov/","House Committee on Agriculture"
"house","Appropriations","APPROPRIATIONS","https://appropriations.house.gov/","House Committee on Appropriations"
"house","Armed Services","ARMEDSERVICES","https://armedservices.house.gov/","House Committee on Armed Services"
"house","Budget","BUDGET","https://budget.house.gov/","House Committee on Budget"
"house","Education and Workforce","EDWORKFORCE","https://edworkforce.house.gov/","House Committee on Education and Workforce"
"house","Energy and Commerce","ENERGYCOMMERCE","https://energycommerce.house.gov/","House Committee on Energy and Commerce"
"house","Ethics","ETHICS","https://ethics.house.gov/","House Committee on Ethics"
"house","Financial Services","FINANCIALSERVICES","https://financialservices.house.gov/","House Committee on Financial Services"
"house","Foreign Affairs","FOREIGNAFFAIRS","https://foreignaffairs.house.gov/","House Committee on Foreign Affairs"
"house","House Administration","CHA","https://cha.house.gov/","House Committee on House Administration"
"house","Joint Committee on Printing","CHA","https://cha.house.gov/joint-committee-on-printing","House Committee on Joint Committee on Printing"
"house","Joint Committee on the Library","CHA","https://cha.house.gov/joint-committee-on-library","House Committee on Joint Committee on the Library"
"house","Judiciary","JUDICIARY","https://judiciary.house.gov/","House Committee on Judiciary"
"house","Natural Resources","NATURALRESOURCES","https://naturalresources.house.gov/","House Committee on Natural Resources"
"house","Oversight and Government Reform","OVERSIGHT","https://oversight.house.gov/","House Committee on Oversight and Government Reform"
"house","Permanent Select Committee on Intelligence","INTELLIGENCE","https://intelligence.house.gov/","House Committee on Permanent Select Committee on Intelligence"
"house","Rules","RULES","https://rules.house.gov/","House Committee on Rules"
"house","Science, Space, and Technology","SCIENCE","https://science.house.gov/","House Committee on Science, Space, and Technology"
"house","Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party","SELECTCOMMITTEEONTHECCP","https://selectcommitteeontheccp.house.gov/","House Committee on Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party"
"house","Small Business","SMALLBUSINESS","https://smallbusiness.house.gov/","House Committee on Small Business"
"house","Transportation and Infrastructure","TRANSPORTATION","https://transportation.house.gov/","House Committee on Transportation and Infrastructure"
"house","Veterans’ Affairs","VETERANS","https://veterans.house.gov/","House Committee on Veterans’ Affairs"
"house","Ways and Means","WAYSANDMEANS","https://waysandmeans.house.gov/","House Committee on Ways and Means"
"senate","Agriculture, Nutrition, and Forestry","ANA","http://www.agriculture.senate.gov/","Senate Committee on Agriculture, Nutrition, and Forestry - Chair: Boozman, John (R-AR) - Ranking Member: Klobuchar, Amy (D-MN)"
"senate","Appropriations","","http://www.appropriations.senate.gov/","Senate Committee on Appropriations - Chair: Collins, Susan M. (R-ME) - Ranking Member: Murray, Patty (D-WA)"
"senate","Armed Services","AS","http://www.armed-services.senate.gov/","Senate Committee on Armed Services - Chair: Wicker, Roger F. (R-MS) - Ranking Member: Reed, Jack (D-RI)"
"senate","Banking, Housing, and Urban Affairs","BHA","http://www.banking.senate.gov/public","Senate Committee on Banking, Housing, and Urban Affairs - Chair: Scott, Tim (R-SC) - Ranking Member: Warren, Elizabeth (D-MA)"
"senate","Budget","","http://www.budget.senate.gov/","Senate Committee on Budget - Chair: Graham, Lindsey (R-SC) - Ranking Member: Merkley, Jeff (D-OR)"
"senate","Commerce, Science, and Transportation","CSA","http://www.commerce.senate.gov/","Senate Committee on Commerce, Science, and Transportation - Chair: Cruz, Ted (R-TX) - Ranking Member: Cantwell, Maria (D-WA)"
"senate","Energy and Natural Resources","EAN","http://www.energy.senate.gov/","Senate Committee on Energy and Natural Resources - Chair: Lee, Mike (R-UT) - Ranking Member: Heinrich, Martin (D-NM)"
"senate","Environment and Public Works","EAP","http://www.epw.senate.gov/","Senate Committee on Environment and Public Works - Chair: Capito, Shelley Moore (R-WV) - Ranking Member: Whitehouse, Sheldon (D-RI)"
